Participant,Color_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,contingency_memory,hypothesis_awareness,influence_awareness,demand_IAT,demand_self_reports
216,CS2_Positive_CS1_Negative,-0.348,-0.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
217,CS1_Positive_CS2_Negative,0.435,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
218,CS1_Positive_CS2_Negative,-0.829,-3.5,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
220,CS1_Positive_CS2_Negative,-0.584,-3.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
222,CS2_Positive_CS1_Negative,-0.343,-8,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
223,CS2_Positive_CS1_Negative,0.139,-3,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
225,CS1_Positive_CS2_Negative,-0.438,1.75,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE
226,CS1_Positive_CS2_Negative,0,0.75,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
231,CS2_Positive_CS1_Negative,-0.155,-1.75,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
235,CS1_Positive_CS2_Negative,0.202,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
236,CS1_Positive_CS2_Negative,0.163,-7.5,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
237,CS2_Positive_CS1_Negative,0.629,-4,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
241,CS1_Positive_CS2_Negative,0.933,8,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
242,CS1_Positive_CS2_Negative,-0.35,1.5,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
243,CS1_Positive_CS2_Negative,0.676,0.75,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
251,CS1_Positive_CS2_Negative,0.082,0,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
260,CS1_Positive_CS2_Negative,-0.332,0,Idon'tknow,FALSE,FALSE,FALSE,FALSE,FALSE
261,CS2_Positive_CS1_Negative,-0.397,-6.25,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
265,CS1_Positive_CS2_Negative,0.597,2,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE
266,CS1_Positive_CS2_Negative,0.328,10,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
269,CS2_Positive_CS1_Negative,0.594,0,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE
280,CS2_Positive_CS1_Negative,-0.361,1.75,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
283,CS1_Positive_CS2_Negative,0.674,5,Morag,TRUE,FALSE,FALSE,FALSE,FALSE
284,CS1_Positive_CS2_Negative,-0.537,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
291,CS1_Positive_CS2_Negative,0.401,0.5,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
292,CS1_Positive_CS2_Negative,-0.45,-4,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
294,CS2_Positive_CS1_Negative,-0.057,-1,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
296,CS2_Positive_CS1_Negative,-0.422,0,Morag,TRUE,FALSE,FALSE,FALSE,FALSE
302,CS2_Positive_CS1_Negative,-0.388,-0.5,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
303,CS2_Positive_CS1_Negative,0.663,1.25,Idon'tknow,FALSE,FALSE,TRUE,FALSE,FALSE
308,CS1_Positive_CS2_Negative,0.056,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
311,CS2_Positive_CS1_Negative,-0.127,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
313,CS1_Positive_CS2_Negative,0.886,10,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
318,CS2_Positive_CS1_Negative,-0.272,-6.75,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
336,CS2_Positive_CS1_Negative,-0.454,0,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
337,CS1_Positive_CS2_Negative,-0.06,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
340,CS1_Positive_CS2_Negative,-0.389,5,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
343,CS2_Positive_CS1_Negative,-0.748,1,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
344,CS2_Positive_CS1_Negative,-0.024,-0.75,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
346,CS1_Positive_CS2_Negative,0.122,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
354,CS1_Positive_CS2_Negative,-0.772,0,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
355,CS1_Positive_CS2_Negative,0.819,5.5,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
357,CS2_Positive_CS1_Negative,-0.598,-10,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
362,CS1_Positive_CS2_Negative,0.642,10,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
364,CS1_Positive_CS2_Negative,0.394,8.25,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
366,CS2_Positive_CS1_Negative,-0.04,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
367,CS2_Positive_CS1_Negative,0.076,-4,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
369,CS1_Positive_CS2_Negative,0.406,5.5,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
370,CS1_Positive_CS2_Negative,-0.305,2.25,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
375,CS2_Positive_CS1_Negative,0.179,0,Idon'tknow,FALSE,FALSE,FALSE,FALSE,FALSE
379,CS1_Positive_CS2_Negative,0.782,7.25,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
380,CS1_Positive_CS2_Negative,0.72,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
383,CS2_Positive_CS1_Negative,0.446,6,Idon'tknow,FALSE,FALSE,TRUE,FALSE,FALSE
385,CS1_Positive_CS2_Negative,0.794,8,Idon'tknow,FALSE,FALSE,TRUE,FALSE,FALSE
386,CS1_Positive_CS2_Negative,-0.791,10,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
390,CS2_Positive_CS1_Negative,0.079,-3.5,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
394,CS1_Positive_CS2_Negative,-0.296,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
396,CS1_Positive_CS2_Negative,-0.493,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE
399,CS2_Positive_CS1_Negative,0.53,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
402,CS1_Positive_CS2_Negative,0.643,-6,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
406,CS2_Positive_CS1_Negative,-0.626,-8.5,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
413,CS2_Positive_CS1_Negative,0.538,0.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
415,CS2_Positive_CS1_Negative,0.264,0,Idon'tknow,FALSE,FALSE,FALSE,FALSE,FALSE
416,CS2_Positive_CS1_Negative,-0.522,-8.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
418,CS1_Positive_CS2_Negative,-0.079,6,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
422,CS2_Positive_CS1_Negative,-0.446,0,Idon'tknow,FALSE,FALSE,FALSE,FALSE,FALSE
425,CS1_Positive_CS2_Negative,-0.136,4,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
427,CS1_Positive_CS2_Negative,-0.032,2,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
433,CS1_Positive_CS2_Negative,0.347,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
434,CS1_Positive_CS2_Negative,-0.645,0.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
436,CS1_Positive_CS2_Negative,-0.466,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
438,CS2_Positive_CS1_Negative,0.064,-10,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
439,CS2_Positive_CS1_Negative,-0.359,-2,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE
441,CS1_Positive_CS2_Negative,0.478,2.5,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
442,CS1_Positive_CS2_Negative,0.692,4.25,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
451,CS1_Positive_CS2_Negative,-0.683,-3,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
463,CS2_Positive_CS1_Negative,0.83,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
465,CS1_Positive_CS2_Negative,0.03,2.5,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
470,CS2_Positive_CS1_Negative,-0.171,0.5,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
471,CS2_Positive_CS1_Negative,0.396,-1.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
482,CS1_Positive_CS2_Negative,0.03,5,Morag,TRUE,FALSE,TRUE,FALSE,FALSE
488,CS2_Positive_CS1_Negative,0.734,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
492,CS1_Positive_CS2_Negative,-0.492,0,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
496,CS2_Positive_CS1_Negative,-0.774,-10,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
501,CS2_Positive_CS1_Negative,-0.68,-0.75,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
505,CS1_Positive_CS2_Negative,-0.094,-1.75,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
506,CS1_Positive_CS2_Negative,-0.202,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
507,CS1_Positive_CS2_Negative,0.5,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
509,CS2_Positive_CS1_Negative,-1.334,-9,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
516,CS1_Positive_CS2_Negative,-0.504,2,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
519,CS2_Positive_CS1_Negative,0.012,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
524,CS1_Positive_CS2_Negative,0.154,0.5,Idon'tknow,FALSE,FALSE,FALSE,FALSE,FALSE
527,CS2_Positive_CS1_Negative,-0.655,-10,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
530,CS1_Positive_CS2_Negative,-0.086,0.75,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE
531,CS1_Positive_CS2_Negative,0.44,0,Morag,TRUE,FALSE,FALSE,FALSE,FALSE
540,CS1_Positive_CS2_Negative,0.662,7,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
543,CS2_Positive_CS1_Negative,0.312,0,Morag,TRUE,FALSE,FALSE,FALSE,FALSE
549,CS2_Positive_CS1_Negative,-0.768,-3.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
551,CS2_Positive_CS1_Negative,0.34,0,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
555,CS1_Positive_CS2_Negative,0.373,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
559,CS2_Positive_CS1_Negative,0.547,4.25,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
567,CS2_Positive_CS1_Negative,0.02,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
569,CS1_Positive_CS2_Negative,0.461,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
572,CS1_Positive_CS2_Negative,-0.731,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
