Participant,Color_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,contingency_memory,hypothesis_awareness,influence_awareness,demand_IAT,demand_self_reports
10,CS1_Positive_CS2_Negative,-0.442,-0.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
16,CS2_Positive_CS1_Negative,-0.692,-10,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
18,CS1_Positive_CS2_Negative,0.252,-4,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
22,CS2_Positive_CS1_Negative,0.138,-10,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
28,CS1_Positive_CS2_Negative,0.1,0.5,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
30,CS2_Positive_CS1_Negative,-0.525,-8,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
33,CS1_Positive_CS2_Negative,0.204,1.75,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
35,CS1_Positive_CS2_Negative,0.464,6,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
37,CS2_Positive_CS1_Negative,-0.712,-8.75,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
38,CS2_Positive_CS1_Negative,-0.425,0.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
39,CS2_Positive_CS1_Negative,-0.206,-3,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
40,CS2_Positive_CS1_Negative,-0.3,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
42,CS1_Positive_CS2_Negative,0.514,10,Morag,TRUE,FALSE,TRUE,FALSE,FALSE
45,CS2_Positive_CS1_Negative,-0.126,-10,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
52,CS1_Positive_CS2_Negative,0.149,-0.75,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
61,CS2_Positive_CS1_Negative,0.003,-10,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
62,CS2_Positive_CS1_Negative,-0.943,-6,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
64,CS2_Positive_CS1_Negative,0.028,-1.25,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
65,CS1_Positive_CS2_Negative,0.292,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE
68,CS1_Positive_CS2_Negative,0.622,0.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
73,CS1_Positive_CS2_Negative,0.624,-0.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
79,CS2_Positive_CS1_Negative,0.14,0,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
81,CS1_Positive_CS2_Negative,0.386,10,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
85,CS2_Positive_CS1_Negative,0.18,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
86,CS2_Positive_CS1_Negative,0.169,-3,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
89,CS1_Positive_CS2_Negative,0.375,6.5,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
90,CS1_Positive_CS2_Negative,-0.084,2.5,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
92,CS1_Positive_CS2_Negative,0.238,0,Idon'tknow,TRUE,FALSE,TRUE,FALSE,FALSE
95,CS2_Positive_CS1_Negative,-0.152,4,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
96,CS2_Positive_CS1_Negative,-0.381,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
97,CS1_Positive_CS2_Negative,0.596,6,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
99,CS1_Positive_CS2_Negative,-0.191,-5.5,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
100,CS1_Positive_CS2_Negative,0.07,9.5,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
102,CS2_Positive_CS1_Negative,-0.245,-6.5,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
108,CS1_Positive_CS2_Negative,0.242,-0.25,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
111,CS2_Positive_CS1_Negative,0.018,-2.5,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
113,CS1_Positive_CS2_Negative,0.626,7,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
122,CS1_Positive_CS2_Negative,0.495,4.5,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
125,CS2_Positive_CS1_Negative,-0.942,-1,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
126,CS2_Positive_CS1_Negative,0.664,0.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
130,CS1_Positive_CS2_Negative,0.038,7,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
134,CS2_Positive_CS1_Negative,-0.276,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
136,CS2_Positive_CS1_Negative,-0.721,1.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
137,CS1_Positive_CS2_Negative,0.53,-0.25,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE
140,CS1_Positive_CS2_Negative,-0.014,0,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE
143,CS2_Positive_CS1_Negative,0.529,0,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
146,CS1_Positive_CS2_Negative,0.03,4.75,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
148,CS1_Positive_CS2_Negative,0.135,6.25,bothMoragandStruan,FALSE,FALSE,TRUE,FALSE,FALSE
149,CS2_Positive_CS1_Negative,-0.598,-9.75,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
150,CS2_Positive_CS1_Negative,-0.723,1,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
152,CS2_Positive_CS1_Negative,0.535,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
153,CS1_Positive_CS2_Negative,0.012,0,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE
154,CS1_Positive_CS2_Negative,0.302,10,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
160,CS2_Positive_CS1_Negative,-0.051,-2.25,Struan,FALSE,FALSE,TRUE,FALSE,FALSE
164,CS1_Positive_CS2_Negative,-0.183,0,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE
166,CS2_Positive_CS1_Negative,0.07,-0.75,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
167,CS2_Positive_CS1_Negative,-0.35,0.25,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
171,CS1_Positive_CS2_Negative,0.475,2.25,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
173,CS2_Positive_CS1_Negative,0.589,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
178,CS1_Positive_CS2_Negative,0.889,5.75,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
179,CS1_Positive_CS2_Negative,0.158,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE
180,CS1_Positive_CS2_Negative,0.559,-1.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
187,CS1_Positive_CS2_Negative,1.141,-0.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
188,CS1_Positive_CS2_Negative,-0.436,8,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE
192,CS2_Positive_CS1_Negative,0.232,3,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE
194,CS1_Positive_CS2_Negative,0.28,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
196,CS1_Positive_CS2_Negative,0.12,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
201,CS1_Positive_CS2_Negative,0.173,10,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
204,CS1_Positive_CS2_Negative,0.684,10,Morag,FALSE,FALSE,TRUE,FALSE,FALSE
207,CS2_Positive_CS1_Negative,-0.086,0,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE
208,CS2_Positive_CS1_Negative,-0.286,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
209,CS1_Positive_CS2_Negative,0.182,-2,Struan,FALSE,FALSE,FALSE,FALSE,FALSE
210,CS1_Positive_CS2_Negative,-0.683,8.75,Morag,FALSE,FALSE,FALSE,FALSE,FALSE
214,CS2_Positive_CS1_Negative,-0.422,-9.5,Struan,TRUE,FALSE,TRUE,FALSE,FALSE
215,CS2_Positive_CS1_Negative,-0.048,-0.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE
