date	time	group	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3	stimulusnumber4	stimulusitem4	stimulusvpos4	stimulushpos4	stimulusonset4	stimulusnumber5	stimulusitem5	stimulusvpos5	stimulushpos5	stimulusonset5	stimulusnumber6	stimulusitem6	stimulusvpos6	stimulushpos6	stimulusonset6
011218	10:26:34	1	5	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1d_Good_1_L	750	0	0	6500	0	0	Ctrl+'Q'	1	902	0	1	MORAG	50pct	30pct	491	2	PLEASURE	60pct	70pct	491	2	CANCER	40pct	70pct	491	1	MORAG	50pct	30pct	2991	2	PLEASURE	60pct	70pct	2991	2	CANCER	40pct	70pct	2991
011218	10:27:42	1	6	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2a_Bad_1_H	750	0	0	6500	0	0	Ctrl+'Q'	1	377	0	1	STRUAN	50pct	30pct	491	3	JOY	40pct	70pct	491	2	MISERY	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	JOY	40pct	70pct	2991	2	MISERY	60pct	70pct	2991
011218	10:28:43	1	7	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2a_Bad_2_H	750	0	0	6500	0	0	0	0	2750	0	1	STRUAN	50pct	30pct	491	3	JOY	40pct	70pct	491	3	VOMIT	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	JOY	40pct	70pct	2991	3	VOMIT	60pct	70pct	2991
011218	10:28:43	1	7	4.0.10.0	2	2	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1a_Good_1_H	750	0	0	6500	0	0	Ctrl+'Q'	1	294	0	1	MORAG	50pct	30pct	491	2	PLEASURE	40pct	70pct	491	2	CANCER	60pct	70pct	491	1	MORAG	50pct	30pct	2991	2	PLEASURE	40pct	70pct	2991	2	CANCER	60pct	70pct	2991
011218	10:29:50	1	8	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2c_Bad_2_H	750	0	0	6500	0	0	Ctrl+'Q'	1	1268	0	1	STRUAN	50pct	30pct	491	3	JOY	40pct	70pct	491	2	MISERY	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	JOY	40pct	70pct	2991	2	MISERY	60pct	70pct	2991
