date	time	group	subject	build	Stimulus_1a_Positive_Negative_Positive_Negative_response	Stimulus_1a_Positive_Negative_Positive_Negative_latency	Stimulus_2a_Positive_Negative_Positive_Negative_response	Stimulus_2a_Positive_Negative_Positive_Negative_latency	Stimulus_1a_Good_Bad_Good_Bad_response	Stimulus_1a_Good_Bad_Good_Bad_latency	Stimulus_2a_Good_Bad_Good_Bad_response	Stimulus_2a_Good_Bad_Good_Bad_latency	Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response	Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_latency	Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response	Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_latency	Stimulus_1a_Like_Dislike_Like_Dislike_response	Stimulus_1a_Like_Dislike_Like_Dislike_latency	Stimulus_2a_Like_Dislike_Like_Dislike_response	Stimulus_2a_Like_Dislike_Like_Dislike_latency	
011218	10:21:10	1	1	4.0.10.0	5     	2093	-5     	2294	5     	2992	-5     	2332	5     	1800	-5     	2639	5     	2229	-5     	1924	
011218	10:22:45	1	1	4.0.10.0	5     	3269	-5     	2469	5     	2739	-5     	2576	5     	2566	-5     	2301	5     	2261	-5     	2095	
011218	10:24:26	1	3	4.0.10.0	5     	2451	-5     	2357	5     	2151	-5     	2050	5     	2205	-5     	3339	5     	2286	-5     	3165	
011218	10:25:42	1	4	4.0.10.0	5     	1946	-5     	4806	5     	2366	-5     	2160	5     	2115	-5     	3118	5     	1807	-5     	2341	
011218	10:26:44	1	5	4.0.10.0	5     	2300	-5     	2105	5     	2626	-5     	2870	5     	1894	-5     	1997	5     	3398	-5     	2174	
011218	10:27:50	1	6	4.0.10.0	5     	2787	-5     	2256	5     	3849	-5     	2424	5     	2447	-5     	2868	5     	1932	-5     	2442	
011218	10:29:02	1	7	4.0.10.0	5     	2873	-5     	3612	5     	2800	-5     	2461	5     	2335	-5     	1991	5     	2600	-5     	2088	
011218	10:30:00	1	8	4.0.10.0	5     	2040	-5     	1996	5     	2113	-5     	1827	5     	1955	-5     	1995	5     	2095	-5     	3092	
011218	10:31:03	1	9	4.0.10.0	-5     	2186	5     	4251	-5     	2499	5     	2478	-5     	2227	5     	2170	-5     	2594	5     	2360	
011218	10:32:05	1	10	4.0.10.0	-5     	1885	5     	2692	-5     	2880	5     	1931	-5     	2390	5     	3436	-5     	2250	5     	2783	
011218	10:35:55	1	10	4.0.10.0	-5     	2762	5     	2292	-5     	2192	5     	3324	-5     	1996	5     	2564	-5     	2114	5     	1848	
011218	10:36:39	1	11	4.0.10.0	-5     	2244	5     	1923	-5     	2135	5     	1936	-5     	2238	5     	2347	-5     	1948	5     	2210	
011218	10:37:17	1	12	4.0.10.0	-5     	2089	5     	2062	-5     	2315	5     	3320	-5     	2057	5     	2302	-5     	3115	5     	2444	
011218	10:38:08	1	13	4.0.10.0	-5     	2092	5     	2008	-5     	4432	5     	2183	-5     	2190	5     	1925	-5     	2334	5     	2821	
011218	10:39:01	1	14	4.0.10.0	-5     	1894	5     	2122	-5     	1714	5     	1969	-5     	2299	5     	1998	-5     	4508	5     	2708	
011218	10:39:44	1	15	4.0.10.0	-5     	2194	5     	3115	-5     	2225	5     	2477	-5     	2210	5     	2506	-5     	2268	5     	2149	
011218	10:40:26	1	16	4.0.10.0	-5     	2291	5     	3950	-5     	3123	5     	3042	-5     	2574	5     	2350	-5     	2557	5     	2163	
