date	time	group	subject	build	Intentions_response	Intentions_latency	
011218	10:21:10	1	1	4.0.10.0	I would try Morag	2794	
011218	10:22:45	1	1	4.0.10.0	I would try Morag	2577	
011218	10:24:26	1	3	4.0.10.0	I would try Morag	3686	
011218	10:25:42	1	4	4.0.10.0	I would try Morag	2393	
011218	10:26:44	1	5	4.0.10.0	I would try Morag	3289	
011218	10:27:50	1	6	4.0.10.0	I would try Morag	2028	
011218	10:29:02	1	7	4.0.10.0	I would try Morag	2088	
011218	10:30:00	1	8	4.0.10.0	I would try Morag	5983	
011218	10:31:03	1	9	4.0.10.0	I would try Struan	3698	
011218	10:32:05	1	10	4.0.10.0	I would try Struan	3049	
011218	10:35:55	1	10	4.0.10.0	I would try Struan	3119	
011218	10:36:39	1	11	4.0.10.0	I would try Struan	2244	
011218	10:37:17	1	12	4.0.10.0	I would try Struan	2370	
011218	10:38:08	1	13	4.0.10.0	I would try Struan	2511	
011218	10:39:01	1	14	4.0.10.0	I would try Struan	5506	
011218	10:39:44	1	15	4.0.10.0	I would try Struan	5308	
011218	10:40:26	1	16	4.0.10.0	I would try Struan	2586	
052218	13:51:28	1	1	4.0.10.0		912	
