Participant,Bag_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
712,No_Shared_Feature_Condition_2,0.922222497,2,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
714,Shared_Feature_Bag_Random_Condition_3,1.029222025,2.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
718,Shared_Feature_Bag_Random_Condition_3,-0.567725918,-0.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
724,Shared_Feature_Bag_Location_Condition_1,0.376722083,4.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
736,No_Shared_Feature_Condition_2,-0.353380396,-1,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
741,Shared_Feature_Bag_Random_Condition_3,0.121497615,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
749,Shared_Feature_Bag_Location_Condition_1,0.658784696,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
750,Shared_Feature_Bag_Location_Condition_1,0.337879621,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
757,No_Shared_Feature_Condition_2,-0.331677606,-1.75,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
759,No_Shared_Feature_Condition_2,-0.621456357,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
766,Shared_Feature_Bag_Random_Condition_3,-0.195410459,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
770,Shared_Feature_Bag_Location_Condition_1,0.65358811000000006,2.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
780,No_Shared_Feature_Condition_2,-0.478994679,-5.75,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
782,No_Shared_Feature_Condition_2,-0.27376898,0.5,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE
791,Shared_Feature_Bag_Random_Condition_3,-0.124273663,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
796,Shared_Feature_Bag_Location_Condition_1,-0.178260718,1.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
803,No_Shared_Feature_Condition_2,0.113296146,-3.25,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
813,Shared_Feature_Bag_Random_Condition_3,0.467333862,1.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
814,Shared_Feature_Bag_Random_Condition_3,-0.066989642,-0.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
818,Shared_Feature_Bag_Location_Condition_1,-0.022552709,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
820,Shared_Feature_Bag_Location_Condition_1,0.072321572,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
822,Shared_Feature_Bag_Location_Condition_1,0.067801562,-0.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
823,Shared_Feature_Bag_Location_Condition_1,0.149581747,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
824,Shared_Feature_Bag_Location_Condition_1,0.125949331,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
825,No_Shared_Feature_Condition_2,0.641259891,1,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
827,No_Shared_Feature_Condition_2,-0.337193708,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
831,No_Shared_Feature_Condition_2,-0.141898816,-1.25,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
832,No_Shared_Feature_Condition_2,0.04163156,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
837,Shared_Feature_Bag_Random_Condition_3,0.297843824,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
852,No_Shared_Feature_Condition_2,-0.277141628,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
854,No_Shared_Feature_Condition_2,-0.26243223,-2.75,TRUE,TRUE,NA,TRUE,FALSE,FALSE,FALSE
868,Shared_Feature_Bag_Location_Condition_1,0.69115262,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
873,No_Shared_Feature_Condition_2,0.351469301,0,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE
878,No_Shared_Feature_Condition_2,-0.715533981,-4,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE
881,Shared_Feature_Bag_Random_Condition_3,0.949201348,7.75,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
887,Shared_Feature_Bag_Random_Condition_3,0.195957727,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
896,Shared_Feature_Bag_Location_Condition_1,-0.103689027,-0.25,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
898,No_Shared_Feature_Condition_2,0.052882563,-3.75,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE
900,No_Shared_Feature_Condition_2,-0.37017855,-5,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
902,No_Shared_Feature_Condition_2,0.114614702,-2,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
907,Shared_Feature_Bag_Random_Condition_3,0.545112583,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
910,Shared_Feature_Bag_Random_Condition_3,-0.519737346,7.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
911,Shared_Feature_Bag_Random_Condition_3,-0.072201809,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
915,Shared_Feature_Bag_Location_Condition_1,0.493162011,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
293,Shared_Feature_Bag_Location_Condition_1,0.445014298,-0.25,FALSE,NA,NA,NA,NA,NA,NA
501,Shared_Feature_Bag_Random_Condition_3,0.366941832,0,FALSE,NA,NA,NA,NA,NA,NA
