Participant,source_valence_condition,EP_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
1095,CS2_Positive_CS1_Negative,-60.94379084967329,-1,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,CS2_Positive_CS1_Negative,159.43900543900543,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
572,CS2_Positive_CS1_Negative,48.17418300653594,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,CS2_Positive_CS1_Negative,19.32894736842104,4,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
796,CS2_Positive_CS1_Negative,147.3761333480761,-0.25,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
680,CS2_Positive_CS1_Negative,4.352631578947353,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
276,CS2_Positive_CS1_Negative,68.64502923976602,-2,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
776,CS2_Positive_CS1_Negative,14.966666666666697,3.75,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
423,CS2_Positive_CS1_Negative,182.7088235294117,0.75,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
383,CS2_Positive_CS1_Negative,71.16372549019604,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
388,CS2_Positive_CS1_Negative,9.96052631578948,0,Morag,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
727,CS2_Positive_CS1_Negative,43.78625730994156,-1,Struan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
119,CS2_Positive_CS1_Negative,-22.97647058823526,2.75,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,CS2_Positive_CS1_Negative,14.313888888888869,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1156,CS2_Positive_CS1_Negative,36.87258403361352,2,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,CS2_Positive_CS1_Negative,11.673684210526403,-6,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
308,CS2_Positive_CS1_Negative,-127.23392857142858,-0.25,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
780,CS2_Positive_CS1_Negative,-28.203216374269005,1,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
391,CS2_Positive_CS1_Negative,33.78040935672516,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
759,CS2_Positive_CS1_Negative,33.42724458204333,0.25,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
611,CS2_Positive_CS1_Negative,-29.550183150183102,0,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
948,CS2_Positive_CS1_Negative,-75.74463118580775,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
471,CS2_Positive_CS1_Negative,-80.39130116959063,3,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1259,CS2_Positive_CS1_Negative,-28.357757137942826,-1,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,CS2_Positive_CS1_Negative,-4.93596491228061,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
563,CS2_Positive_CS1_Negative,-129.8526315789473,-2,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
376,CS2_Positive_CS1_Negative,-78.45156518747854,0,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
571,CS2_Positive_CS1_Negative,16.44824561403516,2,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
264,CS2_Positive_CS1_Negative,86.31111111111113,-3,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
220,CS2_Positive_CS1_Negative,-88.6494047619048,-1.25,Struan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
467,CS2_Positive_CS1_Negative,51.16249999999991,-2.25,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
163,CS2_Positive_CS1_Negative,17.350000000000136,-4,neitherBrand,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
487,CS2_Positive_CS1_Negative,-109.29633699633689,5,Morag,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
903,CS2_Positive_CS1_Negative,55.07518159085498,0,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,CS2_Positive_CS1_Negative,24.088041795665617,0.25,Struan,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
800,CS2_Positive_CS1_Negative,13.363398692810506,-0.5,Struan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
80,CS2_Positive_CS1_Negative,-93.62923976608187,0.25,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
124,CS2_Positive_CS1_Negative,-95.55835913312694,1,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
588,CS2_Positive_CS1_Negative,-4.5,-2.25,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
915,CS2_Positive_CS1_Negative,25.838854489163964,-4.75,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
463,CS2_Positive_CS1_Negative,18.809941520467873,-5,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
135,CS2_Positive_CS1_Negative,43.2830409356726,-1.75,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
528,CS2_Positive_CS1_Negative,-55.95526315789476,-4.25,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
343,CS2_Positive_CS1_Negative,54.51699346405235,-3,Struan,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
708,CS2_Positive_CS1_Negative,31.4444444444444,-3,Struan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
995,CS2_Positive_CS1_Negative,54.081578947368484,0,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
771,CS2_Positive_CS1_Negative,-19.801388888888937,-1.75,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
860,CS2_Positive_CS1_Negative,71.96535947712403,-0.25,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
275,CS2_Positive_CS1_Negative,31.88809523809516,0.5,neitherBrand,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1191,CS2_Positive_CS1_Negative,34.84915720674235,-0.25,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
911,CS2_Positive_CS1_Negative,48.45526315789482,-0.25,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
483,CS2_Positive_CS1_Negative,73.80735294117653,0,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
851,CS2_Positive_CS1_Negative,11.384210526315883,-2.5,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
919,CS2_Positive_CS1_Negative,60.17476780185757,1,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
747,CS2_Positive_CS1_Negative,94.61331269349841,-2.25,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
