Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
136,24,Male    ,CS2_Positive_CS1_Negative,-0.520996472,-2.25,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
138,23,Male    ,CS1_Positive_CS2_Negative,-0.631892272,-2.75,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
143,33,Male    ,CS2_Positive_CS1_Negative,-0.909879434,0,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
144,25,Male    ,CS2_Positive_CS1_Negative,-0.663520205,0,bothMoragandStruan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
145,39,Female  ,CS1_Positive_CS2_Negative,1.333103495,-1.25,Struan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,23,Male    ,CS1_Positive_CS2_Negative,-0.525905275,-0.75,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,31,Male    ,CS1_Positive_CS2_Negative,-0.205854882,-8,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
148,30,Female  ,CS1_Positive_CS2_Negative,-0.480397889,8.25,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
151,25,Female  ,CS2_Positive_CS1_Negative,-0.367589312,0,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,19,Female  ,CS1_Positive_CS2_Negative,0.507756306,2.5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
161,30,Male    ,CS1_Positive_CS2_Negative,0.275304943,-5.75,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
171,38,Male    ,CS1_Positive_CS2_Negative,0.350507531,8,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
173,39,Male    ,CS2_Positive_CS1_Negative,0.030122416,-6,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176,33,Female  ,CS2_Positive_CS1_Negative,0.137373047,2,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178,24,Female  ,CS1_Positive_CS2_Negative,-0.327536201,1.25,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,30,Female  ,CS2_Positive_CS1_Negative,-0.220142402,0,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
186,35,Male    ,CS1_Positive_CS2_Negative,0.629167612,9.5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
192,30,Male    ,CS2_Positive_CS1_Negative,-0.715032365,0.25,bothMoragandStruan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
193,27,Male    ,CS1_Positive_CS2_Negative,-0.103714544,-2.5,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
198,32,Female  ,CS2_Positive_CS1_Negative,-0.267250545,-2.25,Morag,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
206,33,Male    ,CS2_Positive_CS1_Negative,-0.681276614,4,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210,19,Male    ,CS1_Positive_CS2_Negative,0.617676375,6.75,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
212,22,Male    ,CS1_Positive_CS2_Negative,0.035881896,-2.5,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,31,Male    ,CS2_Positive_CS1_Negative,0.055333741,1.25,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
215,27,Female  ,CS2_Positive_CS1_Negative,-0.672606854,-9,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
218,26,Male    ,CS1_Positive_CS2_Negative,-0.783310973,4,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
221,24,Female  ,CS2_Positive_CS1_Negative,-0.700660278,-10,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
222,21,Female  ,CS2_Positive_CS1_Negative,-0.77888951,-8.25,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
225,38,Male    ,CS1_Positive_CS2_Negative,0.382799106,6.5,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
236,28,Female  ,CS1_Positive_CS2_Negative,0.674911311,8,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
237,32,Female  ,CS2_Positive_CS1_Negative,-0.507937425,-5,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
238,24,Male    ,CS2_Positive_CS1_Negative,0.209734607,2.75,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
239,29,Male    ,CS2_Positive_CS1_Negative,-0.32703457,-1,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
240,33,Female  ,CS2_Positive_CS1_Negative,-0.480796585,-10,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
245,40,Male    ,CS2_Positive_CS1_Negative,-0.925291444,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
246,38,Male    ,CS2_Positive_CS1_Negative,-0.782302787,-8,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
250,34,Male    ,CS1_Positive_CS2_Negative,-0.649985114,-4.25,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
255,19,Male    ,CS2_Positive_CS1_Negative,-0.013877243,-2.75,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
264,35,Male    ,CS2_Positive_CS1_Negative,-0.709255363,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
265,22,Female  ,CS1_Positive_CS2_Negative,0.055244372,0,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
270,38,Female  ,CS2_Positive_CS1_Negative,-0.333882695,7.5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
272,28,Female  ,CS2_Positive_CS1_Negative,-0.718726532,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
279,18,Male    ,CS2_Positive_CS1_Negative,-0.064146505,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
284,23,Female  ,CS1_Positive_CS2_Negative,-0.571868687,-5.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
287,33,Female  ,CS2_Positive_CS1_Negative,0.559268454,2.5,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
297,29,Female  ,CS1_Positive_CS2_Negative,-0.002861882,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
306,31,Female  ,CS1_Positive_CS2_Negative,-0.033894628,3.75,Morag,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
312,26,Female  ,CS2_Positive_CS1_Negative,0.311550968,1.25,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
315,24,Male    ,CS1_Positive_CS2_Negative,0.996930902,6,Idon'tknow,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
316,27,Male    ,CS1_Positive_CS2_Negative,-0.276696512,4,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
318,25,Male    ,CS2_Positive_CS1_Negative,-0.362643833,-1,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
321,41,Male    ,CS1_Positive_CS2_Negative,-0.066162058,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
325,34,Female  ,CS2_Positive_CS1_Negative,0.405358119,0,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
335,23,Female  ,CS2_Positive_CS1_Negative,0.390996811,1.5,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
339,29,Female  ,CS1_Positive_CS2_Negative,0.908105961,1.25,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
346,24,Female  ,CS1_Positive_CS2_Negative,0.382121553,9,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
347,27,Female  ,CS1_Positive_CS2_Negative,-0.376850538,8.25,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
349,31,Female  ,CS2_Positive_CS1_Negative,0.090403924,-1.25,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
350,26,Female  ,CS2_Positive_CS1_Negative,-0.12171239,-5.5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
352,37,Female  ,CS2_Positive_CS1_Negative,0.469830929,0,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
353,27,Male    ,CS1_Positive_CS2_Negative,-0.513568605,-2,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
355,29,Female  ,CS1_Positive_CS2_Negative,0.321880786,-2,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
362,39,Female  ,CS1_Positive_CS2_Negative,-0.38221793,0.5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
377,29,Male    ,CS1_Positive_CS2_Negative,-0.298358617,-2.5,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
380,23,Male    ,CS1_Positive_CS2_Negative,-0.854529373,1,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
382,22,Female  ,CS2_Positive_CS1_Negative,0.951479363,3,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
384,31,Male    ,CS2_Positive_CS1_Negative,-0.472493798,1,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
387,34,Male    ,CS1_Positive_CS2_Negative,0.786894034,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
389,27,Male    ,CS2_Positive_CS1_Negative,0.461810185,0.25,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
401,20,Male    ,CS1_Positive_CS2_Negative,1.5156e-4,-1.5,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
402,20,Male    ,CS1_Positive_CS2_Negative,-0.093382089,7.25,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
405,33,Male    ,CS2_Positive_CS1_Negative,-0.37143642,2.25,Morag,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
416,33,Female  ,CS2_Positive_CS1_Negative,-0.115620948,-3.25,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
417,34,Female  ,CS1_Positive_CS2_Negative,0.302900547,10,Idon'tknow,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
421,22,Male    ,CS2_Positive_CS1_Negative,0.198901044,0.75,Morag,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
426,26,Female  ,CS1_Positive_CS2_Negative,0.471391619,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
439,30,Male    ,CS2_Positive_CS1_Negative,0.240005946,-0.75,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
