Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
520,26,Female  ,CS2_Positive_CS1_Negative,-0.372790673,-0.25,bothMoragandStruan,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
452,39,Male    ,CS1_Positive_CS2_Negative,0.032876809,-4.25,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
509,22,Female  ,CS2_Positive_CS1_Negative,-0.519072858,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
407,38,Female  ,CS2_Positive_CS1_Negative,0.780699506,8.5,Morag,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
289,40,Female  ,CS1_Positive_CS2_Negative,0.893775351,8.5,Morag,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
183,37,Male    ,CS2_Positive_CS1_Negative,0.370056161,0.25,Struan,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
253,30,Female  ,CS2_Positive_CS1_Negative,-0.137289974,-10,bothMoragandStruan,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
267,30,Male    ,CS1_Positive_CS2_Negative,0.152117439,10,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
361,33,Male    ,CS1_Positive_CS2_Negative,0.813888794,4.75,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
428,38,Male    ,CS1_Positive_CS2_Negative,-0.755750924,-1.25,Struan,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
53,19,Female  ,CS2_Positive_CS1_Negative,0.117942364,-8.25,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
63,33,Male    ,CS2_Positive_CS1_Negative,0.538465882,2.75,Struan,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
373,32,Female  ,CS2_Positive_CS1_Negative,-0.475618793,-2.25,Struan,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
400,40,Male    ,CS2_Positive_CS1_Negative,-0.20867262,-10,Struan,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
526,37,Female  ,CS2_Positive_CS1_Negative,-0.993790381,-10,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
538,39,Female  ,CS1_Positive_CS2_Negative,0.756487564,8.25,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
259,22,Male    ,CS1_Positive_CS2_Negative,0.919877546,6.75,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
364,40,Male    ,CS1_Positive_CS2_Negative,0.178698007,-8.75,Morag,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
367,35,Male    ,CS2_Positive_CS1_Negative,-0.204441023,1,Morag,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
398,36,Male    ,CS2_Positive_CS1_Negative,-0.652653119,-4,Struan,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
477,40,Male    ,CS2_Positive_CS1_Negative,-0.094866409,-0.25,Struan,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
