Participant,Age,Gender,source_valence_condition,Bag_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,US_contingency_memory,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
2,37,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.17529909,-3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6,35,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.028899201,0.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13,29,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.232443098,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
22,22,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.655318029,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,30,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.021294874,-0.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,33,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.527049544,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,28,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.169142103,0.5,TRUE,NA,TRUE,FALSE,FALSE,TRUE
34,43,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.486339851,-2.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,38,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.242322908,-4.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,21,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.223358965,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41,32,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.177220531,-1.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,35,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.383968356,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,36,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.031965972,-1.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
48,43,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.582405972,-3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
49,33,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.33088397,-5.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
50,26,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.028633585,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
51,34,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.255773845,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
53,24,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.334535561,-0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,36,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.227021481,-8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
55,18,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.747839942,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
56,21,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.37284461,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
58,18,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.06479673,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,31,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.135677176,-4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
66,28,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.424037761,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70,28,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.33668195,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74,27,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.389971471,-0.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
78,24,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.69804404900000006,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
82,40,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.455511384,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
83,39,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.089487171,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
87,18,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.24459243,-7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
89,29,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.270061252,-0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
90,45,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.004596505,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
91,41,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.657739682,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
92,29,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.542309108,-0.25,FALSE,NA,TRUE,TRUE,FALSE,TRUE
96,39,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.193025002,-4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
98,26,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.087968487,-0.75,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
103,29,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.216995885,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,35,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.58386872,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
107,33,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.223500163,1.25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
108,42,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.157928493,-6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
118,29,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.775322793,-3.5,FALSE,NA,TRUE,TRUE,FALSE,FALSE
128,18,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.054234821,-0.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
131,43,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.844313761,-3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
132,37,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.092896772,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
137,33,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.55191952,-3.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
138,37,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.289260545,-0.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
140,35,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.268100539,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
143,21,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.610827869,-3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
153,37,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.013568238,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
155,21,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.440602432,2.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
158,24,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-1.018799642,-5.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
161,36,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.516537708,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
162,26,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.428948462,-2.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
163,27,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.126835282,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
165,21,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.182877181,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
170,43,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.585114251,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
173,29,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.172708179,-0.25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
176,23,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.765329205,-2.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
177,40,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.067856466,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
179,27,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.195639036,-0.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
192,35,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.134160007,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
198,28,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.219127742,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
204,29,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.092220809,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
215,28,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.340771243,-2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
217,26,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.032063717,2.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
219,40,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.258645917,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
221,20,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.353317192,-2.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
224,34,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.500171392,-7.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
228,36,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.833142504,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
237,22,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.069434198,-5.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
238,39,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.1770138,7.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
242,32,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.708776134,-0.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
248,40,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.69511529,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
249,34,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.326186752,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
254,42,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.23367176,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
258,29,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.385270177,-0.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
265,36,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.364150384,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
273,38,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.948798055,-5.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
287,35,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.153313758,-5.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
289,41,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.738833066,-2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
290,30,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.361134524,-6.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
313,37,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.650319052,-6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
317,23,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.143805866,-0.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
319,45,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.48164944,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
330,19,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.008155956,-1.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
333,33,female  ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.048229226,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
334,21,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.35948765,1.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
339,31,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,-0.412966743,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
340,41,male    ,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2,0.059807971,-4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
