subject,Morag_Negative,Morag_Positive,Struan_Negative,Struan_Positive,Morag_EP_Score,Struan_EP_Score,Overall_EP_Score
12,680.6315789473684,690.8888888888889,634.4117647058823,664.1,10.257309941520475,29.688235294117703,-19.430925352597228
14,548.8333333333334,507.7894736842105,549.2105263157895,523.95,-41.04385964912285,-25.260526315789434,-15.783333333333417
16,593.3333333333334,590,603.3,565.1578947368421,-3.3333333333333712,-38.14210526315787,34.8087719298245
19,661.95,592.2777777777778,645.3888888888889,661.1,-69.67222222222222,15.711111111111109,-85.38333333333333
28,651,696.8947368421053,691.5,622.8421052631579,45.89473684210532,-68.65789473684208,114.5526315789474
29,425,322,338,326,-103,-12,-91
39,568.7222222222222,648,571.375,601.2105263157895,79.27777777777783,29.83552631578948,49.44225146198835
45,658.2631578947369,577.2777777777778,638.25,623.0555555555555,-80.98538011695905,-15.194444444444457,-65.79093567251459
46,782.5555555555555,798.0666666666667,762.5833333333334,770.1333333333333,15.511111111111177,7.5499999999999545,7.961111111111222
47,504.1875,502.7,512.2105263157895,522.15,-1.4875000000000114,9.939473684210498,-11.426973684210509
48,610.55,628.1578947368421,623.7368421052631,653.55,17.607894736842127,29.813157894736833,-12.205263157894706
50,593.0526315789474,518.8333333333334,531.5263157894736,508.6111111111111,-74.21929824561403,-22.915204678362556,-51.30409356725147
51,703.7777777777778,710.5,726.1052631578947,737.6,6.722222222222172,11.49473684210534,-4.772514619883168
52,629.75,596.578947368421,636.5,584,-33.17105263157896,-52.5,19.32894736842104
56,398.1875,421.47058823529414,420.1578947368421,419.3529411764706,23.283088235294144,-0.804953560371473,24.088041795665617
57,633.65,556.1578947368421,701.3,528.85,-77.4921052631579,-172.44999999999993,94.95789473684204
62,644.4705882352941,580.2222222222222,629.2631578947369,594.55,-64.24836601307197,-34.71315789473692,-29.53520811833505
63,807.5,769.6666666666666,823.2222222222222,727.8181818181819,-37.83333333333337,-95.4040404040403,57.57070707070693
68,578.0526315789474,604.2777777777778,563.95,595.1111111111111,26.22514619883043,31.16111111111104,-4.93596491228061
70,640.6315789473684,628.2105263157895,628.95,627.15,-12.42105263157896,-1.8000000000000682,-10.621052631578891
72,707.4736842105264,690.2777777777778,569.3888888888889,649.65,-17.19590643274853,80.26111111111106,-97.45701754385959
73,670.1176470588235,585.1111111111111,635.7647058823529,620.85,-85.00653594771245,-14.914705882352905,-70.09183006535955
77,659.5,690.6470588235294,624.5294117647059,722,31.14705882352939,97.47058823529414,-66.32352941176475
78,571.6315789473684,511.7,547.15,504.95,-59.93157894736845,-42.19999999999999,-17.73157894736846
80,514.6,455.5263157894737,489.1111111111111,523.6666666666666,-59.073684210526324,34.55555555555554,-93.62923976608187
91,611.9,601.1,618.578947368421,603.5,-10.799999999999955,-15.07894736842104,4.278947368421086
93,745.0555555555555,660.3333333333334,753.5625,710.8,-84.72222222222217,-42.762500000000045,-41.959722222222126
94,469.15,500.7368421052632,452.35,495.9,31.5868421052632,43.549999999999955,-11.963157894736753
96,813.9285714285714,730.95,768.6,778.1666666666666,-82.9785714285714,9.566666666666606,-92.545238095238
97,556.8888888888889,542.2857142857143,577.625,526.6,-14.60317460317458,-51.02499999999998,36.4218253968254
99,616.2105263157895,668.3125,609.1764705882352,707.9333333333333,52.10197368421052,98.75686274509803,-46.65488906088751
100,689.4375,614.421052631579,680.5294117647059,601.5294117647059,-75.01644736842104,-79,3.9835526315789593
101,688.6315789473684,646.4,676.6315789473684,685.35,-42.23157894736846,8.718421052631584,-50.950000000000045
102,586.65,548.6,645,571.65,-38.049999999999955,-73.35000000000002,35.30000000000007
103,597,507.05,528.2941176470588,482,-89.94999999999999,-46.29411764705878,-43.655882352941205
104,628.6666666666666,676.3076923076923,693.8888888888889,582.0909090909091,47.641025641025635,-111.79797979797979,159.43900543900543
107,594,648.2,603,645.5263157894736,54.200000000000045,42.52631578947364,11.673684210526403
108,789.6666666666666,762.8461538461538,799.3846153846154,846.3333333333334,-26.820512820512818,46.94871794871801,-73.76923076923083
