Experiment,cohens_d,ci_lwr,ci_upr,yi,sei
Experiment 1,1.649315338919344,1.195998273788757,2.102632404049931,1.649315338919344,0.2312842169033608
Experiment 3,1.125046620160453,0.6906831620000838,1.559410078320822,1.125046620160453,0.22161400926549443
Experiment 4,1.1509125839023726,0.8308654656206368,1.4709597021841083,1.1509125839023726,0.1632893460621101
Experiment 5,1.2479827883687178,0.9334390805129641,1.5625264962244714,1.2479827883687178,0.1604814835998743
Experiment 6,1.5837443632038646,1.2864782427089938,1.8810104836987354,1.5837443632038646,0.15166638800758714
Experiment 7 (standard),0.5458109844972062,0.06314653869971126,1.0284754302947012,0.5458109844972062,0.2462573703048444
Experiment 7 (random),0.6033513601241874,0.07904200005696105,1.1276607201914137,0.6033513601241874,0.26750477554450325
Experiment 8,1.1690088649749633,0.9763084590339866,1.36170927091594,1.1690088649749633,0.09831653364335546
