Experiment,logOR,logOR_se,yi,sei
Experiment 1,2.6142690308074035,0.6863903741368246,2.6142690308074035,0.6863903741368246
Experiment 3,1.9371382443973648,0.6281220313269427,1.9371382443973648,0.6281220313269427
Experiment 4,1.6094288263876315,0.48989729272873056,1.6094288263876315,0.48989729272873056
Experiment 5,1.9583500838037133,0.4527025179061381,1.9583500838037133,0.4527025179061381
Experiment 6,2.6982674797310846,0.3855865868917138,2.6982674797310846,0.3855865868917138
Experiment 8,1.4881974056588214,0.22985723511139317,1.4881974056588214,0.22985723511139317
