Experiment,cohens_d,ci_lwr,ci_upr,yi,sei
Experiment 1,1.3131096298771028,0.881287655781102,1.7449316039731035,1.3131096298771028,0.22031733372244938
Experiment 3,0.6616245739165911,0.247075823218861,1.0761733246143212,0.6616245739165911,0.21150446464169903
Experiment 4,0.5702035202073439,0.26761904663325226,0.8727879937814356,0.5702035202073439,0.15437983345616924
Experiment 5,0.7272397884589442,0.4301018141272243,1.024377762790664,0.7272397884589442,0.15160100731210197
Experiment 6,0.9550628537673792,0.6812848136630822,1.2288408938716762,0.9550628537673792,0.1396826735226005
Experiment 7 (standard),0.8448070418584948,0.3502181057677076,1.339395977949282,0.8448070418584948,0.252341293923871
Experiment 7 (random),1.2103953916748262,0.6557128716807827,1.7650779116688697,1.2103953916748262,0.28300128571124666
