Participant,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
40,CS1_Positive_CS2_Negative,0.7087481301261909,0,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52,CS1_Positive_CS2_Negative,-0.5714791592230302,-1,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,CS1_Positive_CS2_Negative,0.044252092334906956,0,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
95,CS2_Positive_CS1_Negative,0.29313910831937656,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
121,CS2_Positive_CS1_Negative,0.34507220704208175,7,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
144,CS2_Positive_CS1_Negative,-0.6252917977051117,0,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
162,CS1_Positive_CS2_Negative,0.1697875145201947,3.75,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
166,CS1_Positive_CS2_Negative,-0.3616138191230821,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
176,CS2_Positive_CS1_Negative,0.5583196978449096,0,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
178,CS1_Positive_CS2_Negative,-0.0752075184132091,-6.75,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
200,CS1_Positive_CS2_Negative,0.8782582432144656,4.25,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,CS1_Positive_CS2_Negative,1.063888713534355,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,CS2_Positive_CS1_Negative,-0.017250733189530784,-8,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,CS2_Positive_CS1_Negative,0.2005886345300807,-8.75,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
61,CS2_Positive_CS1_Negative,-0.9147669573889796,-1,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
78,CS2_Positive_CS1_Negative,-0.69824564443658,-6.5,bothMoragandStruan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
