Participant,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
4,CS1_Positive_CS2_Negative,-0.251,0,bothMoragandStruan,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
7,CS1_Positive_CS2_Negative,0.299,-9.75,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,CS2_Positive_CS1_Negative,0.809,10,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,CS2_Positive_CS1_Negative,0.899,7.5,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,CS2_Positive_CS1_Negative,-0.606,-10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,CS2_Positive_CS1_Negative,-0.712,-7,bothMoragandStruan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16,CS2_Positive_CS1_Negative,0.941,0,Struan,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
17,CS1_Positive_CS2_Negative,0.682,10,neitherBrand,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
18,CS1_Positive_CS2_Negative,-0.819,-10,bothMoragandStruan,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
22,CS1_Positive_CS2_Negative,-0.24,-10,Idon'tknow,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,CS1_Positive_CS2_Negative,-0.301,-6,Struan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28,CS2_Positive_CS1_Negative,0.993,0.75,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29,CS2_Positive_CS1_Negative,-0.719,0,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30,CS2_Positive_CS1_Negative,0.785,9.5,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
34,CS1_Positive_CS2_Negative,-0.283,-2.75,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,CS1_Positive_CS2_Negative,-0.735,0,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
37,CS1_Positive_CS2_Negative,-0.405,-7.5,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
38,CS1_Positive_CS2_Negative,-1.184,-1,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,CS2_Positive_CS1_Negative,-0.809,-9,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43,CS2_Positive_CS1_Negative,-0.142,-6.5,Morag,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47,CS2_Positive_CS1_Negative,-0.013,-0.75,Morag,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
48,CS2_Positive_CS1_Negative,0.109,0,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50,CS1_Positive_CS2_Negative,-0.877,-10,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52,CS1_Positive_CS2_Negative,-0.912,0,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
55,CS1_Positive_CS2_Negative,-1.018,-5.75,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
56,CS1_Positive_CS2_Negative,-0.691,0,Morag,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
59,CS2_Positive_CS1_Negative,0.011,7,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
60,CS2_Positive_CS1_Negative,-0.188,-10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
61,CS2_Positive_CS1_Negative,0.067,-1,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
62,CS2_Positive_CS1_Negative,-1.088,-7.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
64,CS2_Positive_CS1_Negative,0.184,-4,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
67,CS1_Positive_CS2_Negative,-0.989,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
71,CS1_Positive_CS2_Negative,0.624,0.5,Idon'tknow,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
72,CS1_Positive_CS2_Negative,-0.735,-3,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
74,CS2_Positive_CS1_Negative,-0.239,-6,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
76,CS2_Positive_CS1_Negative,-0.188,10,bothMoragandStruan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
77,CS2_Positive_CS1_Negative,-0.688,-7,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
78,CS2_Positive_CS1_Negative,-0.386,-1.5,neitherBrand,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
80,CS2_Positive_CS1_Negative,-0.068,-0.25,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
81,CS1_Positive_CS2_Negative,0.198,0,Morag,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
85,CS1_Positive_CS2_Negative,0.632,0,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
